Year,Quarter,Type_of_application,Category_of_leave,Industry,Applications
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Financial and Insurance Activities,424
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Real estate activities,12
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",486
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Administrative and support service activities,77
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Public administration and defence; compulsory social security,96
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Education,492
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Human Health and Social Work Activities,1599
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",126
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Other Service Activities,100
2010,2010 Q2,Extensions of stay,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,5
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Accommodation and Food Service Activities,1
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Information and Communications,2
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),"Professional, Scientific and Technical Activities",1
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Administrative and support service activities,1
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Education,23
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Human Health and Social Work Activities,5
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),"Arts, Entertainment and Recreation",29
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Other Service Activities,9
2010,2010 Q2,Extensions of stay,Temporary Worker (Previously Tier 5),Activities of extraterritorial organisations and bodies,4
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Agriculture, Forestry and Fishing",34
2010,2010 Q3,Visa,Worker (Previously Tier 2),Mining and Quarrying,226
2010,2010 Q3,Visa,Worker (Previously Tier 2),Manufacturing,562
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Electricity, gas, steam and air conditioning supply",43
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Water supply; sewerage, waste management and remediation activities",3
2010,2010 Q3,Visa,Worker (Previously Tier 2),Construction,61
2010,2010 Q3,Visa,Worker (Previously Tier 2),Wholesale and retail trade; repair of motor vehicles and motorcycles,152
2010,2010 Q3,Visa,Worker (Previously Tier 2),Transportation and Storage,70
2010,2010 Q3,Visa,Worker (Previously Tier 2),Accommodation and Food Service Activities,777
2010,2010 Q3,Visa,Worker (Previously Tier 2),Information and Communications,4634
2010,2010 Q3,Visa,Worker (Previously Tier 2),Financial and Insurance Activities,1760
2010,2010 Q3,Visa,Worker (Previously Tier 2),Real estate activities,7
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Professional, Scientific and Technical Activities",1847
2010,2010 Q3,Visa,Worker (Previously Tier 2),Administrative and support service activities,133
2010,2010 Q3,Visa,Worker (Previously Tier 2),Public administration and defence; compulsory social security,69
2010,2010 Q3,Visa,Worker (Previously Tier 2),Education,515
2010,2010 Q3,Visa,Worker (Previously Tier 2),Human Health and Social Work Activities,799
2010,2010 Q3,Visa,Worker (Previously Tier 2),"Arts, Entertainment and Recreation",198
2010,2010 Q3,Visa,Worker (Previously Tier 2),Other Service Activities,87
2010,2010 Q3,Visa,Worker (Previously Tier 2),Activities of households as employers; production activities of household for own use,4
2010,2010 Q3,Visa,Worker (Previously Tier 2),Activities of extraterritorial organisations and bodies,4
2010,2010 Q3,Visa,Temporary Worker (Previously Tier 5),"Agriculture, Forestry and Fishing",4
